Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,214206,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,27,ca,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
5,Going Bad (feat. Drake),Meek Mill,154448,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,27,ca,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
6,Without Me,Halsey,141856,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,27,ca,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
7,SICKO MODE,Travis Scott,139456,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,27,ca,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
8,Dancing With A Stranger (with Normani),Sam Smith,123064,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,27,ca,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
9,"thank u, next",Ariana Grande,119385,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,27,ca,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
10,Look Back at It,A Boogie Wit da Hoodie,115588,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,1,27,ca,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,179449,4
11,Drip Too Hard (Lil Baby & Gunna),Lil Baby,109468,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,1,27,ca,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,145543,4
12,Mo Bamba,Sheck Wes,109428,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,1,27,ca,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
13,ZEZE,Kodak Black,107921,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,1,27,ca,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
14,Saturday Nights,Khalid,101258,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,27,ca,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667,4
15,High Hopes,Panic! At The Disco,99972,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,27,ca,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4
16,Happier,Marshmello,94803,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,27,ca,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
17,Lost in the Fire,Gesaffelstein,91935,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,1,27,ca,0.663,0.675,2,-12.159,1,0.0359,0.0863,0.00133,0.117,0.176,101.004,202093,4
18,Shallow,Lady Gaga,89237,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,27,ca,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
19,Leave Me Alone,Flipp Dinero,89200,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,1,27,ca,0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,195637,4
20,Eastside (with Halsey & Khalid),benny blanco,88106,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,27,ca,0.632,0.686,6,-7.665,0,0.243,0.549,0,0.2,0.329,89.949,170770,4
21,Better Now,Post Malone,81401,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,27,ca,0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,231267,4
22,Keanu Reeves,Logic,79204,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019,1,27,ca,0.71,0.888,2,-6.457,1,0.235,0.0591,0,0.134,0.816,170.193,225987,4
23,First Off (feat. Travis Scott),Future,78769,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,2019,1,27,ca,0.734,0.683,1,-6.105,1,0.0776,0.013,0,0.28,0.445,162.038,228367,4
24,Lucid Dreams,Juice WRLD,76881,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,1,27,ca,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4
25,No Stylist,French Montana,74741,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019,1,27,ca,0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,192172,4
26,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,73971,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,27,ca,0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4
27,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,72588,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019,1,27,ca,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,189487,4
28,Giant (with Rag'n'Bone Man),Calvin Harris,71515,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,27,ca,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184,4
29,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,71513,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019,1,27,ca,0.736,0.622,6,-4.653,0,0.133,0.0235,0,0.151,0.506,191.971,192779,4
30,Better,Khalid,70407,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,27,ca,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
31,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",Dua Lipa,70105,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l,2019,1,27,ca,0.588,0.821,5,-6.54,0,0.216,0.00579,0.000275,0.208,0.509,188.098,182075,4
32,Taste (feat. Offset),Tyga,69521,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,1,27,ca,0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959,4
33,Hope,The Chainsmokers,69387,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019,1,27,ca,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,180120,4
34,SAD!,XXXTENTACION,68736,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,1,27,ca,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,4
35,MIA (feat. Drake),Bad Bunny,68511,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,27,ca,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
36,KIKA,6ix9ine,67386,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019,1,27,ca,0.745,0.715,1,-3.368,0,0.245,0.128,0,0.182,0.342,94.513,136032,4
37,Wake Up in the Sky,Gucci Mane,66903,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,1,27,ca,0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,203161,4
38,Sweet but Psycho,Ava Max,66091,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,27,ca,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4
39,a lot,21 Savage,65463,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,1,27,ca,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
40,Youngblood,5 Seconds of Summer,65379,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,1,27,ca,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
41,Pure Water (with Migos),Mustard,64945,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,1,27,ca,0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,194520,4
42,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,64755,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,27,ca,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4
43,i'm so tired...,Lauv,64357,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,1,27,ca,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,4
44,when the party's over,Billie Eilish,64063,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,1,27,ca,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,199931,3
45,Sauce!,XXXTENTACION,63982,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca,2019,1,27,ca,0.68,0.313,3,-13.672,0,0.0347,0.582,0,0.19,0.405,135.034,144724,4
46,Splashin,Rich The Kid,63128,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,2019,1,27,ca,0.942,0.383,10,-8.099,1,0.565,0.00195,0,0.0922,0.38,100.021,177806,4
47,Nonstop,Drake,62286,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,1,27,ca,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4
48,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,61674,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,27,ca,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4
49,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,59531,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,27,ca,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4
50,rockstar (feat. 21 Savage),Post Malone,58941,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,27,ca,0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,218147,4
51,Noticed,Lil Mosey,57528,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,2019,1,27,ca,0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,165000,4
52,Nights Like This (feat. Ty Dolla $ign),Kehlani,56829,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019,1,27,ca,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201788,4
53,Crushed Up,Future,55612,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,2019,1,27,ca,0.781,0.597,10,-6.794,0,0.23,0.0415,0,0.152,0.544,158.043,149949,4
54,Moonlight,XXXTENTACION,55026,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,1,27,ca,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
55,Money,Cardi B,54677,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,1,27,ca,0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,4
56,I Like It,Cardi B,52922,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,1,27,ca,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4
57,Armed And Dangerous,Juice WRLD,52862,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019,1,27,ca,0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,169999,4
58,Bohemian Rhapsody - Remastered 2011,Queen,52327,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,27,ca,0.397,0.396,3,-9.91,1,0.05,0.254,0,0.268,0.227,142.913,354320,4
59,Girls Like You (feat. Cardi B),Maroon 5,52064,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,27,ca,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545,4
60,Thotiana,Blueface,51834,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,1,27,ca,0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,129264,4
61,monster,21 Savage,51374,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019,1,27,ca,0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,233040,4
62,Let Me Down Slowly,Alec Benjamin,51370,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019,1,27,ca,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169354,4
63,God's Plan,Drake,51224,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,27,ca,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
64,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,50636,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,2019,1,27,ca,0.612,0.601,8,-7.089,1,0.164,0.168,0,0.117,0.525,147.018,223543,4
65,lovely,Billie Eilish,49900,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,1,27,ca,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
66,Body (feat. Brando),Loud Luxury,49888,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,27,ca,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
67,Be Alright,Dean Lewis,49247,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,27,ca,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
68,Psycho (feat. Ty Dolla $ign),Post Malone,49169,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,1,27,ca,0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,221440,4
69,Space Cadet (feat. Gunna),Metro Boomin,48356,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,2019,1,27,ca,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4
70,YOSEMITE,Travis Scott,47872,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,2019,1,27,ca,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,150043,4
71,In My Feelings,Drake,47731,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,27,ca,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4
72,Look Alive (feat. Drake),BlocBoy JB,46935,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,2019,1,27,ca,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4
73,imagine,Ariana Grande,46653,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,1,27,ca,0.714,0.474,8,-4.993,1,0.039,0.374,0,0.106,0.376,62.484,212293,3
74,I Like Me Better,Lauv,46653,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,1,27,ca,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,4
75,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,46438,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019,1,27,ca,0.642,0.772,10,-6.61,1,0.0848,0.0476,0,0.0646,0.589,153.995,164205,4
76,Fine China,Future,46120,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN,2019,1,27,ca,0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,141587,4
77,FEFE,6ix9ine,45761,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,2019,1,27,ca,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405,4
78,Butterfly Doors,Lil Pump,44813,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3,2019,1,27,ca,0.925,0.397,5,-11.265,1,0.169,0.0889,5.12e-05,0.144,0.429,130.008,132923,4
79,Beautiful (feat. Camila Cabello),Bazzi,44439,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019,1,27,ca,0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,180000,4
80,This Feeling,The Chainsmokers,43930,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,27,ca,0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,197947,4
81,no tears left to cry,Ariana Grande,43567,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,1,27,ca,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4
82,I Love It (& Lil Pump),Kanye West,43198,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019,1,27,ca,0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,127947,4
83,Ric Flair Drip (& Metro Boomin),Offset,42306,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2019,1,27,ca,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800,4
84,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,42160,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ,2019,1,27,ca,0.753,0.686,1,-5.415,0,0.284,0.0677,0,0.193,0.886,132.055,194732,4
85,BAD!,XXXTENTACION,41961,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,2019,1,27,ca,0.78,0.492,5,-3.4,0,0.0671,0.0643,0.0313,0.174,0.374,143.983,94246,4
86,Natural,Imagine Dragons,41879,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,1,27,ca,0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100.0,189467,4
87,So Close,NOTD,41040,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019,1,27,ca,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302,4
88,Jocelyn Flores,XXXTENTACION,40874,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,1,27,ca,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
89,Faucet Failure,Ski Mask The Slump God,39905,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019,1,27,ca,0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.615,99.993,145627,4
90,Trampoline,SHAED,39776,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,2019,1,27,ca,0.689,0.412,7,-7.523,0,0.0301,0.488,0.00016,0.0659,0.537,126.754,184060,4
91,Love Lies (with Normani),Khalid,39767,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2019,1,27,ca,0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,201707,4
92,breathin,Ariana Grande,39410,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,2019,1,27,ca,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,4
93,Yes Indeed,Lil Baby,38702,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,2019,1,27,ca,0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,142273,4
94,Ruin My Life,Zara Larsson,38461,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,1,27,ca,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932,4
95,10 Freaky Girls (with 21 Savage),Metro Boomin,38440,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ,2019,1,27,ca,0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,208293,4
96,I Fall Apart,Post Malone,38349,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,1,27,ca,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4
97,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,38316,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3,2019,1,27,ca,0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927,149878,4
98,Lucky You (feat. Joyner Lucas),Eminem,37882,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2019,1,27,ca,0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,244679,4
99,whoa (mind in awe),XXXTENTACION,37775,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019,1,27,ca,0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,157777,4
100,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,37694,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,2019,1,27,ca,0.808,0.617,10,-9.32,0,0.442,0.113,0,0.734,0.632,149.962,166400,4
1,7 rings,Ariana Grande,352211,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,28,ca,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4
2,MIDDLE CHILD,J. Cole,297957,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,1,28,ca,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4
3,Wow.,Post Malone,237085,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,28,ca,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,217556,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,28,ca,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
5,Going Bad (feat. Drake),Meek Mill,158594,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,28,ca,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522,4
6,Without Me,Halsey,149866,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,28,ca,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
7,SICKO MODE,Travis Scott,137217,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,28,ca,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4
8,Dancing With A Stranger (with Normani),Sam Smith,131270,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,28,ca,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
